iter	RMSE
285	7.406963014
286	7.405991417
287	7.404096952
288	7.403002749
289	7.402232996
290	7.400369499
291	7.399786302
292	7.399224472
293	7.39811703
294	7.397114663
295	7.39557742
296	7.394484115
297	7.393134578
298	7.391849892
299	7.390825448
300	7.389485967
301	7.38787048
302	7.386846651
303	7.386306211
304	7.385121787
305	7.384319615
306	7.383342809
307	7.381803555
308	7.380894069
309	7.379574175
310	7.378538136
311	7.377378854
312	7.376121004
313	7.374563117
314	7.374008111
315	7.372724045
316	7.371743225
317	7.370317351
318	7.369548393
319	7.367868228
320	7.366219975
321	7.365490979
322	7.364469739
323	7.363445542
324	7.361965008
325	7.36089793
326	7.359906301
327	7.359526888
328	7.358586811
329	7.357195515
330	7.356510516
331	7.355314661
332	7.353834981
333	7.353121512
334	7.352152332
335	7.351619649
336	7.351116642
337	7.349674278
338	7.348298746
339	7.347407385
340	7.346055833
341	7.34492863
342	7.34378502
343	7.343065998
344	7.342648847
345	7.341278153
346	7.340962595
347	7.33898092
348	7.337436282
349	7.336765116
350	7.335727995
351	7.334744985
352	7.333268061
353	7.332449267
354	7.331801156
355	7.331089738
356	7.330480282
357	7.328463778
358	7.326213736
359	7.325628114
360	7.324761691
361	7.324014141
362	7.323504191
363	7.32278162
364	7.32146312
365	7.320580423
366	7.319756614
367	7.318765673
368	7.317884796
369	7.316966696
370	7.315555443
371	7.31407943
372	7.313513878
373	7.312119298
374	7.311261987
375	7.310389009
376	7.309729118
377	7.30835594
378	7.306995093
379	7.305470733
380	7.303878289
381	7.303279873
382	7.302653888
383	7.301233509
384	7.300522649
385	7.300032878
386	7.298835551
387	7.298234525
388	7.297077061
389	7.296302933
390	7.295280099
391	7.293565608
392	7.292046499
393	7.291210611
394	7.290432343
395	7.289338569
396	7.288981349
397	7.288222288
398	7.287748408
399	7.287267897
400	7.286325464
401	7.285028195
402	7.284248826
403	7.282972825
404	7.281661394
405	7.280520139
406	7.27923944
407	7.278572327
408	7.277656827
409	7.276914415
410	7.275914027
411	7.274991625
412	7.274384007
413	7.27319412
414	7.27225895
415	7.271532102
416	7.270363846
417	7.269549042
418	7.26840828
419	7.265487494
420	7.265142816
421	7.264107508
422	7.263139933
423	7.26189977
424	7.261530482
425	7.260528262
426	7.259904506
427	7.259439446
428	7.25795248
429	7.256802767
430	7.256270069
431	7.254385361
432	7.253497535
433	7.252695947
434	7.251250003
435	7.250634766
436	7.250208853
437	7.2495214
438	7.248283439
439	7.247538216
440	7.246629047
441	7.246444985
442	7.245653123
443	7.244614151
444	7.24427707
445	7.243642725
446	7.242886494
447	7.242018054
448	7.241704483
449	7.240515452
450	7.239451997
451	7.238629877
452	7.237993079
453	7.23637401
454	7.235495074
455	7.232126139
456	7.231497394
457	7.230588242
458	7.229944588
459	7.229267904
460	7.228830438
461	7.227526785
462	7.226979524
463	7.226374771
464	7.226149419
465	7.225729745
466	7.224256395
467	7.223548451
468	7.222553466
469	7.221551283
470	7.220631521
471	7.21984515
472	7.218562266
473	7.218142783
474	7.217761251
475	7.216790401
476	7.215969214
477	7.214631231
478	7.214394133
479	7.213280501
480	7.212390346
481	7.211362137
482	7.210363284
483	7.209533162
484	7.208391041
485	7.207425655
486	7.206580801
487	7.205699978
488	7.204689214
489	7.203995497
490	7.203458496
491	7.20289469
492	7.202310745
493	7.201187856
494	7.200355847
495	7.199067237
496	7.198018389
497	7.196931208
498	7.196402054
499	7.195685746
500	7.195167333
501	7.194505442
502	7.193638096
503	7.192668029
504	7.191587156
505	7.191182181
506	7.19029687
507	7.189603209
508	7.188997682
509	7.187997924
510	7.187520792
511	7.187077352
512	7.186399038
513	7.185332258
514	7.184370918
515	7.182872852
516	7.182183823
517	7.181031138
518	7.180595526
519	7.180051825
520	7.179146371
521	7.178532147
522	7.177527132
523	7.176584085
524	7.175893008
525	7.175303012
526	7.174919779
527	7.174345461
528	7.173784344
529	7.173282135
530	7.172146796
531	7.171005842
532	7.170303783
533	7.169223933
534	7.168642702
535	7.168020142
536	7.16712048
537	7.1660994
538	7.165039977
539	7.16443917
540	7.16364866
541	7.163103231
542	7.16249046
543	7.161516587
544	7.160863121
545	7.160461843
546	7.159691283
547	7.158562129
548	7.158127617
549	7.157172444
550	7.15578832
551	7.15482345
552	7.154375713
553	7.154341807
554	7.153573655
555	7.152675971
556	7.152149509
557	7.151524272
558	7.15055876
559	7.149671931
560	7.149183602
561	7.148160983
562	7.147135648
563	7.146022469
564	7.145279678
565	7.14401887
566	7.142687676
567	7.141748074
568	7.141275616
569	7.140608807
570	7.139849973
571	7.138924168
572	7.13818053
573	7.137477371
574	7.136515405
575	7.135647696
576	7.134787222
577	7.134096412
578	7.133051425
579	7.131790256
580	7.128763316
581	7.128055202
582	7.12709017
583	7.126605425
584	7.125900606
585	7.125153869
586	7.124513848
587	7.123653407
588	7.123060534
589	7.122042756
590	7.121579974
591	7.121293474
592	7.120357107
593	7.119833081
594	7.118645215
595	7.118172973
596	7.117820037
597	7.116633685
598	7.116090878
599	7.115651323
600	7.114769701
601	7.114080341
602	7.113251434
603	7.112495196
604	7.111732414
605	7.111209246
606	7.110153767
607	7.109905132
608	7.10941561
609	7.10875848
610	7.107256201
611	7.106693331
612	7.10544468
613	7.104631884
614	7.103874003
615	7.103120741
616	7.102709752
617	7.10201224
618	7.101611051
619	7.101212057
620	7.100735648
621	7.100013081
622	7.098940958
623	7.098091567
624	7.097540522
625	7.096203883
626	7.095810528
627	7.095088614
628	7.094327879
629	7.093488974
630	7.092737444
631	7.092386182
632	7.091542221
633	7.090995623
634	7.089900986
635	7.0893422
636	7.088603901
637	7.088182816
638	7.087436027
639	7.086503854
640	7.085454766
641	7.084698655
642	7.084162277
643	7.083811501
644	7.083467649
645	7.082684558
646	7.082018483
647	7.080994858
648	7.080644282
649	7.080347318
650	7.079071541
651	7.078462483
652	7.078025072
653	7.07759232
654	7.076968833
655	7.076450696
656	7.075889746
657	7.074981679
658	7.074490756
659	7.07364484
660	7.072906143
661	7.071117722
662	7.070635916
663	7.070167888
664	7.069465551
665	7.068389511
666	7.06749345
667	7.066603508
668	7.065406682
669	7.064486594
670	7.064209259
671	7.06330522
672	7.062765193
673	7.062413468
674	7.061768672
675	7.060306758
676	7.059700099
677	7.059124323
678	7.05876643
679	7.057680156
680	7.057048109
681	7.056209156
682	7.055852028
683	7.055449979
684	7.054588967
685	7.053698695
686	7.053110443
687	7.05277308
688	7.050547111
689	7.049745171
690	7.049035358
691	7.048597969
692	7.048031116
693	7.04739414
694	7.046712303
695	7.045155727
696	7.044265789
697	7.043576704
698	7.042179048
699	7.041641155
700	7.041009014
701	7.040355678
702	7.039832838
703	7.039114399
704	7.038486748
705	7.038025938
706	7.037396229
707	7.036594011
708	7.036047958
709	7.035689947
710	7.035324531
711	7.034416325
712	7.033574631
713	7.033171043
714	7.032835665
715	7.031700338
716	7.03116215
717	7.030821056
718	7.029761154
719	7.029073417
720	7.028168273
721	7.027759138
722	7.027392344
723	7.026944924
724	7.026492054
725	7.025830679
726	7.025532505
727	7.024375662
728	7.023941413
729	7.023407747
730	7.022030703
731	7.02166207
732	7.020929604
733	7.019757485
734	7.019529075
735	7.018703349
736	7.017931949
737	7.015951402
738	7.014947915
739	7.014558457
740	7.014013009
741	7.012955648
742	7.01257487
743	7.011806306
744	7.011125888
745	7.01023536
746	7.009725844
747	7.008870256
748	7.008075232
749	7.007774623
750	7.007298999
751	7.006781954
752	7.006434963
753	7.00598498
754	7.005427698
755	7.004555737
756	7.00342433
757	7.002771011
758	7.000984742
759	7.000660063
760	7.000392001
761	6.99979426
762	6.999206322
763	6.998277113
764	6.997780604
765	6.996222714
766	6.995723408
767	6.99505158
768	6.994440423
769	6.994186333
770	6.993411533
771	6.992560829
772	6.991626911
773	6.991039961
774	6.989904564
775	6.989582176
776	6.988775809
777	6.987950261
778	6.987341714
779	6.98687238
780	6.98637043
781	6.985668128
782	6.984857376
783	6.984155921
784	6.98320749
785	6.982257542
786	6.981769162
787	6.980764553
788	6.980163305
789	6.979768458
790	6.979134018
791	6.978470872
792	6.97813498
793	6.977843353
794	6.976886963
795	6.976562422
796	6.976126287
797	6.975524912
798	6.975007574
799	6.974352745
800	6.973803567
801	6.97292098
802	6.972837164
803	6.972549651
804	6.971707757
805	6.97102192
806	6.970355745
807	6.96948897
808	6.968980724
809	6.968421352
810	6.967769799
811	6.967464796
812	6.96686286
813	6.966534552
814	6.965914406
815	6.965265211
816	6.964548032
817	6.964244877
818	6.96316051
819	6.962517552
820	6.96204841
821	6.961298221
822	6.96071574
823	6.960425197
824	6.959989447
825	6.959309963
826	6.957717185
827	6.957597649
828	6.957058995
829	6.956411881
830	6.955914008
831	6.955185642
832	6.954183568
833	6.953431192
834	6.953076527
835	6.952726228
836	6.951747403
837	6.951154536
838	6.950548709
839	6.949456182
840	6.948939986
841	6.948314757
842	6.947332427
843	6.94689234
844	6.946462878
845	6.945460195
846	6.945201212
847	6.944678842
848	6.943644484
849	6.942276114
850	6.940781696
851	6.940091744
852	6.939843643
853	6.939467431
854	6.939104001
855	6.938335858
856	6.937366082
857	6.936684344
858	6.936237666
859	6.935743402
860	6.93541678
861	6.935029814
862	6.934545382
863	6.934539139
864	6.933864152
865	6.933474304
866	6.932884121
867	6.93254374
868	6.931746781
869	6.931127863
870	6.930433463
871	6.929831311
872	6.929301921
873	6.928618586
874	6.928063591
875	6.927429192
876	6.926842791
877	6.926695501
878	6.926011067
879	6.925574787
880	6.924995183
881	6.924315704
882	6.923884355
883	6.9229656
884	6.92233554
885	6.921710034
886	6.921072939
887	6.920900093
888	6.920412293
889	6.919736377
890	6.917511389
891	6.917193531
892	6.916487126
893	6.915785377
894	6.915451116
895	6.914708668
896	6.914231944
897	6.913859568
898	6.913537066
899	6.91288827
900	6.912497814
901	6.912214645
902	6.911414408
903	6.910946952
904	6.910461215
905	6.909903012
906	6.909355224
907	6.909133506
908	6.90851543
909	6.907910669
910	6.907498764
911	6.907254335
912	6.906540823
913	6.905854337
914	6.905266661
915	6.904489544
916	6.90377393
917	6.903455494
918	6.902299254
919	6.901456295
920	6.900793041
921	6.899943845
922	6.899593542
923	6.899151682
924	6.898195312
925	6.897765988
926	6.897418212
927	6.896472375
928	6.895789965
929	6.89535303
930	6.89466306
931	6.894100709
932	6.893689468
933	6.893302885
934	6.892647907
935	6.892048429
936	6.891057525
937	6.890462356
938	6.889799306
939	6.889096968
940	6.888411829
941	6.888005791
942	6.887488471
943	6.886828341
944	6.886148987
945	6.884997857
946	6.884286011
947	6.884026208
948	6.883721022
949	6.883281946
950	6.882930267
951	6.882516054
952	6.881979914
953	6.881585982
954	6.881089344
955	6.880778439
956	6.879833921
957	6.879329692
958	6.878486641
959	6.877816641
960	6.877098962
961	6.87557913
962	6.875250623
963	6.874886311
964	6.874204772
965	6.873719701
966	6.873412832
967	6.872709471
968	6.872247646
969	6.871124661
970	6.870365966
971	6.869773974
972	6.868479492
973	6.867997097
974	6.867335155
975	6.866743738
976	6.866279267
977	6.864830075
978	6.864338483
979	6.863844801
980	6.862934694
981	6.862576676
982	6.86185789
983	6.861220361
984	6.860539805
985	6.860168956
986	6.859146341
987	6.858171669
988	6.85768076
989	6.857275133
990	6.857010092
991	6.856342273
992	6.85611134
993	6.855291579
994	6.854701556
995	6.853527453
996	6.852746224
997	6.852074702
998	6.851637722
999	6.851393827
