iter	Passed	Remaining
167	399	1976
168	401	1975
169	403	1971
170	405	1967
171	407	1963
172	410	1960
173	412	1957
174	414	1954
175	416	1951
176	419	1948
177	421	1944
178	423	1943
179	425	1940
180	428	1937
181	430	1934
182	432	1932
183	434	1928
184	436	1925
185	438	1920
186	441	1917
187	443	1914
188	445	1911
189	447	1908
190	450	1907
191	452	1903
192	454	1899
193	456	1896
194	458	1892
195	460	1889
196	463	1887
197	465	1884
198	468	1884
199	470	1880
200	472	1876
201	474	1876
202	477	1873
203	479	1869
204	480	1865
205	483	1863
206	485	1860
207	487	1857
208	490	1855
209	492	1852
210	494	1849
211	496	1846
212	499	1844
213	501	1843
214	504	1841
215	506	1840
216	509	1839
217	511	1836
218	514	1833
219	516	1830
220	518	1827
221	520	1824
222	522	1820
223	524	1818
224	527	1816
225	529	1814
226	531	1811
227	534	1808
228	535	1804
229	537	1800
230	540	1797
231	542	1795
232	544	1792
233	546	1790
234	549	1787
235	551	1784
236	553	1782
237	555	1779
238	558	1777
239	560	1774
240	562	1771
241	565	1770
242	567	1767
243	569	1764
244	571	1761
245	573	1758
246	575	1755
247	578	1753
248	580	1751
249	582	1748
250	585	1746
251	587	1743
252	590	1742
253	592	1739
254	594	1736
255	596	1734
256	598	1731
257	601	1728
258	603	1727
259	606	1725
260	608	1723
261	610	1720
262	613	1718
263	615	1716
264	617	1713
265	619	1710
266	622	1708
267	624	1705
268	627	1704
269	629	1702
270	631	1699
271	633	1696
272	636	1694
273	638	1691
274	640	1688
275	642	1685
276	644	1682
277	646	1679
278	648	1677
279	651	1675
280	653	1672
281	655	1669
282	657	1666
283	659	1663
284	662	1661
285	664	1658
286	666	1655
287	668	1653
288	671	1651
289	673	1649
290	676	1648
291	679	1647
292	681	1644
293	683	1641
294	685	1638
295	687	1636
296	690	1633
297	692	1631
298	694	1628
299	697	1626
300	699	1623
301	701	1622
302	704	1621
303	706	1618
304	708	1615
305	711	1612
306	713	1610
307	715	1607
308	717	1604
309	719	1601
310	721	1599
311	724	1597
312	726	1594
313	729	1593
314	731	1590
315	733	1587
316	735	1585
317	738	1583
318	740	1580
319	742	1578
320	745	1576
321	747	1573
322	749	1571
323	752	1569
324	754	1567
325	756	1564
326	759	1562
327	761	1559
328	763	1556
329	765	1554
330	767	1552
331	770	1549
332	772	1547
333	774	1545
334	777	1543
335	779	1541
336	781	1538
337	784	1536
338	786	1534
339	789	1531
340	791	1529
341	793	1526
342	795	1523
343	797	1521
344	799	1518
345	802	1516
346	804	1513
347	806	1511
348	808	1508
349	810	1506
350	813	1503
351	815	1500
352	817	1498
353	819	1495
354	821	1493
355	824	1491
356	827	1489
357	829	1487
358	832	1485
359	834	1483
360	836	1480
361	838	1477
362	840	1475
363	842	1472
364	845	1470
365	846	1467
366	849	1464
367	851	1462
368	853	1460
369	856	1458
370	858	1456
371	861	1453
372	863	1451
373	865	1449
374	867	1446
375	869	1443
376	872	1441
377	874	1439
378	876	1436
379	879	1434
380	881	1432
381	884	1430
382	886	1427
383	888	1425
384	891	1423
385	892	1420
386	895	1417
387	897	1415
388	899	1413
389	902	1410
390	904	1408
391	906	1406
392	909	1404
393	911	1401
394	913	1399
395	915	1396
396	918	1394
397	920	1392
398	922	1390
399	924	1387
400	926	1384
401	929	1382
402	932	1380
403	934	1378
404	937	1376
405	939	1374
406	941	1371
407	943	1368
408	945	1366
409	947	1363
410	949	1361
411	952	1359
412	955	1358
413	958	1357
414	961	1355
415	964	1354
416	967	1352
417	970	1350
418	973	1349
419	975	1347
420	978	1345
421	981	1343
422	983	1342
423	986	1340
424	989	1338
425	991	1335
426	993	1333
427	995	1330
428	998	1328
429	1000	1326
430	1002	1324
431	1005	1321
432	1007	1319
433	1009	1317
434	1012	1315
435	1014	1312
436	1016	1309
437	1019	1307
438	1021	1305
439	1023	1302
440	1025	1300
441	1027	1297
442	1030	1295
443	1032	1292
444	1034	1290
445	1037	1288
446	1039	1286
447	1042	1284
448	1044	1281
449	1046	1278
450	1048	1276
451	1051	1274
452	1054	1272
453	1056	1271
454	1059	1269
455	1062	1267
456	1064	1265
457	1067	1263
458	1069	1260
459	1072	1258
460	1074	1256
461	1076	1253
462	1078	1251
463	1081	1249
464	1083	1246
465	1086	1244
466	1088	1242
467	1091	1240
468	1093	1237
469	1095	1234
470	1097	1232
471	1099	1229
472	1101	1227
473	1103	1224
474	1106	1222
475	1108	1220
476	1110	1218
477	1113	1216
478	1115	1213
479	1117	1210
480	1119	1208
481	1122	1206
482	1124	1203
483	1127	1201
484	1129	1199
485	1131	1197
486	1134	1194
487	1136	1192
488	1139	1190
489	1141	1188
490	1143	1185
491	1146	1183
492	1148	1181
493	1150	1178
494	1152	1176
495	1155	1174
496	1158	1172
497	1160	1169
498	1162	1167
499	1165	1165
500	1167	1162
501	1169	1159
502	1171	1157
503	1173	1154
504	1175	1152
505	1178	1150
506	1180	1147
507	1182	1145
508	1184	1142
509	1187	1140
510	1189	1138
511	1191	1136
512	1194	1133
513	1196	1131
514	1198	1128
515	1200	1125
516	1202	1123
517	1205	1121
518	1207	1119
519	1210	1117
520	1212	1114
521	1214	1112
522	1217	1110
523	1219	1107
524	1221	1105
525	1223	1102
526	1225	1100
527	1227	1097
528	1229	1095
529	1231	1092
530	1234	1090
531	1237	1088
532	1239	1086
533	1241	1083
534	1244	1081
535	1246	1079
536	1249	1076
537	1251	1074
538	1253	1072
539	1255	1069
540	1257	1067
541	1259	1064
542	1262	1062
543	1264	1060
544	1266	1057
545	1269	1055
546	1271	1052
547	1273	1050
548	1275	1048
549	1278	1045
550	1280	1043
551	1283	1041
552	1285	1039
553	1287	1036
554	1290	1034
555	1292	1032
556	1294	1029
557	1296	1026
558	1298	1024
559	1300	1022
560	1303	1019
561	1305	1017
562	1308	1015
563	1310	1012
564	1312	1010
565	1314	1008
566	1317	1006
567	1320	1004
568	1322	1001
569	1324	999
570	1326	996
571	1328	994
572	1331	992
573	1333	989
574	1335	987
575	1338	985
576	1340	982
577	1343	980
578	1345	978
579	1347	975
580	1349	973
581	1352	971
582	1354	969
583	1357	966
584	1359	964
585	1361	962
586	1364	959
587	1366	957
588	1368	955
589	1371	953
590	1373	950
591	1375	948
592	1377	945
593	1380	943
594	1382	941
595	1384	938
596	1386	936
597	1389	933
598	1391	931
599	1393	929
600	1396	926
601	1398	924
602	1401	922
603	1403	920
604	1405	917
605	1407	915
606	1410	913
607	1412	910
608	1414	908
609	1417	905
610	1419	903
611	1421	901
612	1423	898
613	1425	896
614	1427	893
615	1430	891
616	1432	889
617	1434	886
618	1436	884
619	1439	881
620	1441	879
621	1443	877
622	1446	875
623	1448	872
624	1450	870
625	1452	867
626	1455	865
627	1457	863
628	1459	860
629	1461	858
630	1464	856
631	1467	854
632	1469	851
633	1471	849
634	1474	847
635	1476	844
636	1478	842
637	1481	840
638	1483	838
639	1486	835
640	1488	833
641	1490	831
642	1493	828
643	1495	826
644	1497	824
645	1499	821
646	1502	819
647	1504	817
648	1506	814
649	1508	812
650	1510	809
651	1512	807
652	1515	805
653	1518	803
654	1521	801
655	1523	798
656	1525	796
657	1527	794
658	1529	791
659	1532	789
660	1534	787
661	1536	784
662	1539	782
663	1541	779
664	1543	777
665	1546	775
666	1548	772
667	1550	770
668	1552	768
669	1555	766
670	1557	763
671	1559	761
672	1562	758
673	1564	756
674	1566	754
675	1568	751
676	1571	749
677	1573	747
678	1575	744
679	1577	742
680	1580	740
681	1582	737
682	1584	735
683	1586	732
684	1588	730
685	1590	728
686	1592	725
687	1594	723
688	1597	721
689	1599	718
690	1602	716
691	1604	713
692	1605	711
693	1608	709
694	1610	706
695	1613	704
696	1615	702
697	1617	699
698	1619	697
699	1622	695
700	1625	693
701	1627	690
702	1629	688
703	1631	686
704	1634	683
705	1636	681
706	1638	679
707	1640	676
708	1643	674
709	1645	672
710	1648	670
711	1650	667
712	1652	665
713	1654	662
714	1656	660
715	1659	658
716	1661	655
717	1663	653
718	1666	651
719	1669	649
720	1671	646
721	1674	644
722	1676	642
723	1678	639
724	1680	637
725	1682	634
726	1684	632
727	1686	630
728	1688	627
729	1691	625
730	1693	623
731	1695	620
732	1698	618
733	1700	616
734	1702	613
735	1705	611
736	1707	609
737	1709	607
738	1711	604
739	1714	602
740	1716	599
741	1718	597
742	1720	595
743	1723	593
744	1725	590
745	1728	588
746	1730	586
747	1732	583
748	1735	581
749	1737	579
750	1739	576
751	1742	574
752	1744	572
753	1746	569
754	1748	567
755	1751	565
756	1753	562
757	1755	560
758	1757	558
759	1760	555
760	1762	553
761	1764	551
762	1766	548
763	1769	546
764	1771	544
765	1774	542
766	1776	539
767	1778	537
768	1780	534
769	1782	532
770	1784	530
771	1786	527
772	1789	525
773	1791	523
774	1794	520
775	1796	518
776	1798	516
777	1800	513
778	1803	511
779	1805	509
780	1807	506
781	1809	504
782	1811	502
783	1813	499
784	1816	497
785	1818	495
786	1820	492
787	1822	490
788	1825	488
789	1827	485
790	1830	483
791	1832	481
792	1834	478
793	1836	476
794	1839	474
795	1841	471
796	1843	469
797	1845	467
798	1847	464
799	1850	462
800	1852	460
801	1854	457
802	1857	455
803	1859	453
804	1861	451
805	1864	448
806	1866	446
807	1868	444
808	1871	441
809	1873	439
810	1876	437
811	1878	434
812	1880	432
813	1883	430
814	1885	427
815	1887	425
816	1889	423
817	1892	421
818	1894	418
819	1896	416
820	1898	413
821	1901	411
822	1903	409
823	1906	407
824	1908	404
825	1910	402
826	1912	400
827	1914	397
828	1916	395
829	1918	393
830	1921	390
831	1923	388
832	1926	386
833	1928	383
834	1931	381
835	1933	379
836	1935	376
837	1938	374
838	1940	372
839	1942	370
840	1944	367
841	1947	365
842	1949	363
843	1951	360
844	1954	358
845	1956	356
846	1958	353
847	1961	351
848	1963	349
849	1966	346
850	1968	344
851	1970	342
852	1972	339
853	1974	337
854	1976	335
855	1979	332
856	1981	330
857	1984	328
858	1986	326
859	1988	323
860	1990	321
861	1992	319
862	1994	316
863	1996	314
864	1999	312
865	2002	309
866	2004	307
867	2006	305
868	2009	302
869	2011	300
870	2013	298
871	2015	295
872	2018	293
873	2020	291
874	2022	288
875	2025	286
876	2027	284
877	2030	282
878	2032	279
879	2034	277
880	2036	275
881	2039	272
882	2041	270
883	2043	268
884	2045	265
885	2047	263
886	2050	261
887	2052	258
888	2055	256
889	2057	254
890	2060	252
891	2062	249
892	2064	247
893	2067	245
894	2069	242
895	2071	240
896	2073	238
897	2076	235
898	2078	233
899	2081	231
900	2083	228
901	2085	226
902	2088	224
903	2090	221
904	2092	219
905	2094	217
906	2097	215
907	2099	212
908	2101	210
909	2103	208
910	2106	205
911	2108	203
912	2110	201
913	2112	198
914	2115	196
915	2117	194
916	2119	191
917	2121	189
918	2124	187
919	2126	184
920	2128	182
921	2131	180
922	2133	177
923	2135	175
924	2137	173
925	2139	171
926	2141	168
927	2144	166
928	2146	164
929	2149	161
930	2151	159
931	2154	157
932	2156	154
933	2158	152
934	2161	150
935	2163	147
936	2165	145
937	2167	143
938	2170	140
939	2172	138
940	2174	136
941	2177	134
942	2179	131
943	2182	129
944	2184	127
945	2187	124
946	2189	122
947	2190	120
948	2193	117
949	2196	115
950	2198	113
951	2200	110
952	2202	108
953	2204	106
954	2207	104
955	2209	101
956	2212	99
957	2214	97
958	2217	94
959	2219	92
960	2221	90
961	2223	87
962	2226	85
963	2229	83
964	2231	80
965	2234	78
966	2236	76
967	2238	74
968	2241	71
969	2243	69
970	2246	67
971	2248	64
972	2251	62
973	2253	60
974	2255	57
975	2258	55
976	2260	53
977	2262	50
978	2264	48
979	2267	46
980	2269	43
981	2271	41
982	2274	39
983	2276	37
984	2278	34
985	2281	32
986	2284	30
987	2286	27
988	2288	25
989	2290	23
990	2292	20
991	2295	18
992	2297	16
993	2299	13
994	2301	11
995	2304	9
996	2306	6
997	2309	4
998	2311	2
999	2313	0
